Date,Model,Revenue,Quantity Sold,Region,Country,Channel,Engine Type,Cost,Payment Method,Gross Revenue,Total Cost,Net Profit,Percentage of Net Profit
2019-01-01 00:00:00,BMW X2,94654,2,Africa,Nigeria,Wholesale,Gasoline,35000,Bank Transfer,189308,70000,119308,126.0464428
2019-01-01 00:00:00,BMW M4,111259,1,Africa,Kenya,Wholesale,Gasoline,60000,Bank Transfer,111259,60000,51259,46.07177846
2019-01-02 00:00:00,BMW 6 Series,94881,3,South America,Chile,Wholesale,Hybrid,55000,Bank Transfer,284643,165000,119643,126.0979543
2019-01-04 00:00:00,BMW X2,35293,4,Asia,South Korea,Wholesale,Gasoline,35000,Bank Transfer,141172,140000,1172,3.320771824
2019-01-04 00:00:00,BMW M2,76275,5,Asia,Japan,Wholesale,Gasoline,50000,Bank Transfer,381375,250000,131375,172.2386103
2019-01-05 00:00:00,BMW iX3,74929,3,Asia,South Korea,Wholesale,Gasoline,49021.98364,Bank Transfer,224787,147065.9509,77721.04908,103.7262596
2019-01-06 00:00:00,BMW 8 Series,82563,4,South America,Colombia,Dealership,Gasoline,49021.98364,Cash,330252,196087.9346,134164.0654,162.4990195
2019-01-07 00:00:00,BMW 7 Series,71767,3,South America,Chile,Wholesale,Gasoline,70000,Bank Transfer,215301,210000,5301,7.386403222
2019-01-07 00:00:00,BMW iX3,67202,4,Africa,Morocco,Wholesale,Gasoline,49021.98364,Bank Transfer,268808,196087.9346,72720.06544,108.2111625
2019-01-07 00:00:00,BMW i4,82195,5,Asia,Japan,Wholesale,Gasoline,49021.98364,Bank Transfer,410975,245109.9182,165865.0818,201.7946126
2019-01-08 00:00:00,BMW X4,106309,3,Europe,Italy,Wholesale,Gasoline,49021.98364,Bank Transfer,318927,147065.9509,171861.0491,161.6618058
2019-01-08 00:00:00,BMW M3,35983,4,Europe,Spain,Wholesale,Gasoline,49021.98364,Bank Transfer,143932,196087.9346,-52155.93456,-144.9460427
2019-01-08 00:00:00,BMW X6,74863,1,South America,Peru,Dealership,Gasoline,49021.98364,Cash,74863,49021.98364,25841.01636,34.51774089
2019-01-09 00:00:00,BMW 5 Series,59157,2,North America,Mexico,Dealership,Gasoline,49021.98364,Cash,118314,98043.96728,20270.03272,34.26480843
2019-01-09 00:00:00,BMW X6,59493,4,North America,United States,Wholesale,Gasoline,49021.98364,Bank Transfer,237972,196087.9346,41884.06544,70.40166984
2019-01-10 00:00:00,BMW M5,89019,4,Europe,Italy,Dealership,Gasoline,49021.98364,Cash,356076,196087.9346,159988.0654,179.7235033
2019-01-10 00:00:00,BMW 8 Series,113748,4,North America,Mexico,Wholesale,Gasoline,49021.98364,Bank Transfer,454992,196087.9346,258904.0654,227.6119716
